name;type
University of Modena and Reggio Emilia;university
University of Pittsburgh - Pittsburgh Campus;university
Federal University of ABC;university
National Yang-Ming University;university
University of Cincinnati;university
Queen's University;university
Massachusetts Institute of Technology;university
University of Angers;university
University of Wales, Trinity Saint David;university
University of Alabama in Huntsville;university
Utrecht University;university
NAB - National Australia Bank;company
University of Colorado Denver;university
University of Essex;university
Comenius University in Bratislava;university
HP;company
University of Cologne;university
University of Aveiro;university
University of Burgundy;university
University of Bari Aldo Moro;university
University of Hull;university
University of Rostock;university
University of Minnesota, Twin Cities;university
University of Massachusetts Amherst;university
Alexandria University;university
University of TromsÃ¸ - The Arctic University of Norway;university
Osaka City University;university
Osaka University;university
University of Newcastle;university
University of Helsinki;university
Virginia Polytechnic Institute and State University;university
University of Franche-ComtÃ©;university
University of Alaska Fairbanks;university
Okayama University;university
Sapienza University of Rome;university
Ankara University;university
University of Wollongong;university
Fubon Financial;company
University of Hawaii at Manoa;university
BNP Paribas;company
Henan Normal University;university
University of Hyderabad;university
HDFC Bank;company
Hong Kong Polytechnic University;university
University of OrlÃ©ans;university
Colorado State University - Fort Collins;university
University of Helsinki;university
University of Edinburgh;university
RWTH Aachen University;university
Kumamoto University;university
Ã‰cole normale supÃ©rieure - Paris;university
University of Gothenburg;university
Macquarie University;university
Konkuk University;university
Harvard University;university
University of Coimbra;university
Saint Petersburg State University;university
Suzuki Motor;company
Tesla;company
Panjab University;university
University of Murcia;university
Hokkaido University;university
Florida Institute of Technology;university
Otto-von-Guericke University Magdeburg;university
University of Miami;university
University of Oslo;university
Aviva;company
Abbott Laboratories;company
University of Wisconsinâ€“Madison;university
Second University of Naples;university
All India Institute of Medical Sciences, New Delhi;university
East China Normal University;university
Chinese University of Hong Kong;university
Fujifilm Holdings;company
Norilsk Nickel;company
University of the Basque Country;university
Nanjing University of Aeronautics and Astronautics;university
UniversitÃ© libre de Bruxelles;university
Pfizer;company
Ã‰cole Centrale Paris;university
Chiang Mai University;university
Columbia University;university
University of Potsdam;university
China Agricultural University;university
Beijing University of Technology;university
VU University Amsterdam;university
WrocÅ‚aw University of Technology;university
University of Technology, Sydney;university
George Mason University;university
Erasmus University Rotterdam;university
Osaka University;university
Chang Gung University;university
Ã–rebro University;university
Universidade Nova de Lisboa;university
University of Rome Tor Vergata;university
Accenture;company
Rice University;university
Chung-Ang University;university
Allianz;company
University of Manchester;university
Kotak Mahindra Bank;company
University of Melbourne;university
University of South Carolina - Columbia;university
